"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
36;"blue-collar";"single";"secondary";"no";1822;"yes";"no";"cellular";8;"apr";952;1;323;1;"other";"yes"
30;"admin.";"single";"secondary";"no";414;"no";"no";"cellular";30;"apr";64;1;-1;0;"unknown";"no"
34;"admin.";"single";"secondary";"no";1704;"yes";"no";"unknown";15;"may";218;2;-1;0;"unknown";"no"
32;"admin.";"divorced";"tertiary";"no";146;"yes";"no";"cellular";12;"may";69;1;361;1;"failure";"no"
33;"services";"married";"secondary";"no";4963;"yes";"no";"unknown";20;"may";148;2;-1;0;"unknown";"no"
48;"admin.";"married";"secondary";"no";257;"yes";"no";"telephone";8;"may";186;4;358;11;"failure";"no"
35;"admin.";"single";"tertiary";"no";62;"no";"yes";"cellular";30;"apr";67;1;-1;0;"unknown";"no"
52;"admin.";"married";"secondary";"no";2851;"no";"yes";"telephone";2;"feb";35;1;-1;0;"unknown";"no"
45;"blue-collar";"married";"primary";"no";1163;"no";"no";"unknown";16;"may";230;1;-1;0;"unknown";"no"
44;"services";"married";"secondary";"no";1326;"no";"no";"cellular";30;"jul";96;1;-1;0;"unknown";"no"
56;"blue-collar";"married";"secondary";"no";2561;"no";"no";"unknown";20;"jun";13;6;-1;0;"unknown";"no"
35;"services";"married";"secondary";"no";0;"no";"yes";"telephone";9;"jul";42;1;-1;0;"unknown";"no"
37;"technician";"single";"tertiary";"no";2642;"yes";"no";"cellular";25;"jul";591;3;-1;0;"unknown";"no"
36;"unemployed";"married";"secondary";"no";439;"yes";"no";"telephone";6;"feb";18;6;-1;0;"unknown";"no"
51;"unemployed";"married";"secondary";"no";234;"no";"no";"cellular";22;"aug";735;1;-1;0;"unknown";"yes"
32;"management";"single";"tertiary";"no";718;"yes";"no";"cellular";29;"dec";155;1;197;1;"success";"yes"
47;"blue-collar";"married";"secondary";"no";125;"no";"no";"cellular";8;"jul";210;2;-1;0;"unknown";"no"
42;"management";"married";"tertiary";"no";2463;"no";"no";"cellular";26;"oct";183;2;-1;0;"unknown";"no"
44;"management";"single";"tertiary";"no";5063;"no";"no";"cellular";27;"oct";418;2;-1;0;"unknown";"yes"
37;"admin.";"married";"secondary";"no";274;"yes";"no";"unknown";27;"may";731;3;-1;0;"unknown";"yes"
32;"housemaid";"married";"tertiary";"no";357;"yes";"no";"cellular";3;"feb";133;3;77;2;"failure";"no"
33;"admin.";"single";"secondary";"no";1834;"yes";"no";"cellular";21;"nov";11;2;-1;0;"unknown";"no"
37;"blue-collar";"married";"primary";"no";287;"yes";"no";"telephone";20;"apr";73;3;325;3;"failure";"no"
40;"housemaid";"married";"primary";"no";1832;"no";"no";"cellular";6;"feb";213;4;-1;0;"unknown";"no"
37;"blue-collar";"married";"primary";"no";157;"yes";"no";"unknown";30;"may";833;8;-1;0;"unknown";"no"
50;"technician";"divorced";"secondary";"no";3656;"no";"no";"cellular";12;"aug";509;2;-1;0;"unknown";"no"
36;"management";"married";"tertiary";"no";82;"no";"no";"cellular";2;"feb";124;1;178;4;"success";"no"
66;"retired";"married";"secondary";"no";4785;"no";"no";"cellular";13;"aug";72;3;-1;0;"unknown";"no"
32;"blue-collar";"married";"secondary";"no";214;"yes";"no";"unknown";8;"may";190;1;-1;0;"unknown";"no"
31;"unemployed";"married";"secondary";"no";314;"yes";"no";"cellular";20;"nov";1341;3;178;7;"failure";"yes"
39;"blue-collar";"divorced";"primary";"no";4168;"yes";"no";"unknown";20;"jun";172;3;-1;0;"unknown";"no"
60;"retired";"divorced";"secondary";"no";1718;"yes";"no";"unknown";26;"may";146;6;-1;0;"unknown";"no"
58;"blue-collar";"married";"primary";"no";76;"yes";"no";"unknown";5;"may";156;2;-1;0;"unknown";"no"
49;"management";"married";"tertiary";"no";0;"no";"no";"telephone";17;"oct";223;1;-1;0;"unknown";"yes"
32;"technician";"married";"secondary";"no";999;"no";"no";"cellular";11;"aug";382;3;-1;0;"unknown";"no"
55;"technician";"divorced";"secondary";"no";0;"no";"no";"unknown";5;"may";160;1;-1;0;"unknown";"no"
42;"management";"married";"tertiary";"no";8794;"yes";"no";"unknown";29;"may";166;3;-1;0;"unknown";"no"
31;"admin.";"single";"secondary";"no";0;"yes";"no";"cellular";7;"may";895;2;295;2;"failure";"yes"
32;"admin.";"single";"secondary";"no";739;"yes";"no";"cellular";20;"nov";91;3;-1;0;"unknown";"no"
74;"retired";"divorced";"primary";"no";166;"no";"no";"cellular";13;"aug";99;1;-1;0;"unknown";"no"
55;"management";"married";"tertiary";"no";10957;"no";"no";"unknown";11;"jun";514;4;-1;0;"unknown";"no"
51;"blue-collar";"married";"primary";"no";63;"yes";"yes";"cellular";31;"jul";87;4;-1;0;"unknown";"no"
66;"blue-collar";"married";"primary";"no";2552;"no";"no";"telephone";22;"apr";186;4;-1;0;"unknown";"no"
53;"entrepreneur";"married";"tertiary";"no";22370;"yes";"no";"unknown";15;"may";106;1;-1;0;"unknown";"no"
38;"management";"divorced";"tertiary";"no";76;"no";"no";"cellular";30;"jan";220;3;-1;0;"unknown";"no"
29;"services";"married";"secondary";"no";31;"yes";"no";"cellular";24;"jul";71;5;-1;0;"unknown";"no"
38;"management";"divorced";"tertiary";"no";441;"yes";"no";"cellular";30;"jan";67;1;-1;0;"unknown";"no"
31;"technician";"single";"tertiary";"no";703;"yes";"no";"unknown";8;"may";943;2;-1;0;"unknown";"yes"
50;"technician";"married";"secondary";"no";805;"no";"no";"cellular";5;"aug";148;1;-1;0;"unknown";"no"
52;"management";"single";"tertiary";"no";2076;"yes";"no";"unknown";29;"may";112;1;-1;0;"unknown";"no"
58;"admin.";"married";"secondary";"no";169;"no";"no";"cellular";13;"may";336;3;87;5;"success";"yes"
30;"admin.";"single";"secondary";"no";127;"yes";"no";"cellular";18;"may";16;6;368;1;"other";"no"
39;"admin.";"single";"secondary";"no";496;"yes";"no";"unknown";12;"may";788;2;-1;0;"unknown";"no"
35;"services";"married";"secondary";"no";843;"yes";"no";"unknown";27;"may";120;2;-1;0;"unknown";"no"
45;"blue-collar";"married";"secondary";"no";1778;"yes";"no";"unknown";29;"may";48;5;-1;0;"unknown";"no"
53;"blue-collar";"divorced";"secondary";"no";640;"yes";"no";"cellular";11;"may";321;2;-1;0;"unknown";"no"
32;"self-employed";"single";"secondary";"no";356;"yes";"no";"cellular";27;"aug";511;6;-1;0;"unknown";"no"
36;"management";"married";"tertiary";"no";1355;"yes";"no";"unknown";20;"jun";256;8;-1;0;"unknown";"no"
53;"management";"divorced";"tertiary";"no";50;"yes";"no";"cellular";15;"may";669;1;337;3;"failure";"yes"
46;"management";"divorced";"tertiary";"no";302;"no";"no";"cellular";18;"aug";80;13;-1;0;"unknown";"no"
30;"technician";"married";"tertiary";"no";1570;"yes";"no";"cellular";26;"may";260;1;-1;0;"unknown";"no"
49;"housemaid";"married";"primary";"no";889;"no";"no";"telephone";7;"jul";388;1;-1;0;"unknown";"yes"
32;"admin.";"single";"secondary";"no";641;"yes";"no";"cellular";12;"may";148;1;-1;0;"unknown";"no"
22;"student";"single";"secondary";"no";47;"no";"no";"cellular";14;"aug";236;2;-1;0;"unknown";"no"
41;"blue-collar";"married";"primary";"no";348;"yes";"no";"unknown";14;"may";423;2;-1;0;"unknown";"no"
33;"blue-collar";"married";"primary";"no";331;"yes";"no";"unknown";30;"may";139;3;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"yes";0;"no";"yes";"cellular";21;"nov";18;9;-1;0;"unknown";"no"
40;"services";"married";"secondary";"no";-80;"yes";"no";"unknown";2;"jun";147;1;-1;0;"unknown";"no"
31;"technician";"single";"secondary";"no";475;"no";"no";"cellular";7;"jul";226;1;-1;0;"unknown";"no"
59;"services";"single";"secondary";"no";739;"no";"no";"cellular";14;"jan";408;1;-1;0;"unknown";"yes"
45;"admin.";"married";"secondary";"no";0;"no";"no";"cellular";19;"aug";145;10;-1;0;"unknown";"no"
33;"admin.";"married";"secondary";"no";1521;"yes";"no";"cellular";14;"may";222;1;-1;0;"unknown";"no"
27;"admin.";"married";"secondary";"no";897;"no";"no";"cellular";5;"jun";397;1;-1;0;"unknown";"yes"
37;"technician";"married";"secondary";"no";0;"yes";"no";"cellular";22;"apr";1288;3;-1;0;"unknown";"yes"
47;"housemaid";"single";"secondary";"no";17023;"no";"no";"cellular";26;"may";379;2;97;4;"other";"no"
46;"unemployed";"married";"secondary";"no";2017;"yes";"no";"cellular";19;"nov";161;1;-1;0;"unknown";"no"
58;"blue-collar";"married";"primary";"no";5445;"yes";"no";"cellular";14;"apr";391;1;-1;0;"unknown";"no"
51;"entrepreneur";"divorced";"tertiary";"no";4;"yes";"yes";"cellular";20;"apr";74;5;-1;0;"unknown";"no"
42;"self-employed";"married";"tertiary";"no";-1781;"yes";"yes";"cellular";7;"aug";197;2;-1;0;"unknown";"no"
27;"technician";"single";"secondary";"no";261;"yes";"no";"cellular";29;"jan";236;2;247;2;"failure";"no"
50;"blue-collar";"married";"primary";"no";888;"no";"yes";"telephone";10;"jul";160;3;-1;0;"unknown";"no"
43;"blue-collar";"married";"primary";"no";547;"no";"yes";"unknown";9;"jun";96;6;-1;0;"unknown";"no"
41;"self-employed";"married";"primary";"no";204;"no";"no";"cellular";13;"aug";111;7;-1;0;"unknown";"no"
30;"services";"single";"secondary";"no";1487;"no";"yes";"unknown";27;"jun";207;3;-1;0;"unknown";"no"
35;"management";"single";"tertiary";"no";-146;"yes";"no";"cellular";21;"aug";269;1;-1;0;"unknown";"no"
32;"entrepreneur";"married";"secondary";"no";604;"no";"no";"cellular";29;"jan";270;1;-1;0;"unknown";"no"
33;"technician";"married";"secondary";"no";303;"yes";"no";"cellular";3;"feb";355;1;301;5;"success";"yes"
35;"services";"single";"secondary";"no";417;"yes";"no";"cellular";14;"jul";201;3;-1;0;"unknown";"no"
33;"blue-collar";"married";"primary";"no";2861;"yes";"no";"cellular";20;"apr";128;3;-1;0;"unknown";"no"
40;"services";"married";"secondary";"no";1438;"yes";"no";"cellular";6;"may";207;1;351;2;"failure";"no"
28;"technician";"single";"secondary";"no";1532;"no";"no";"cellular";22;"may";253;1;107;5;"failure";"no"
30;"blue-collar";"single";"secondary";"no";906;"yes";"yes";"unknown";21;"may";218;7;-1;0;"unknown";"no"
33;"blue-collar";"single";"secondary";"no";329;"no";"no";"cellular";6;"sep";224;1;145;2;"other";"yes"
35;"self-employed";"single";"secondary";"no";951;"yes";"no";"cellular";19;"nov";220;2;-1;0;"unknown";"no"
37;"entrepreneur";"married";"primary";"no";0;"no";"no";"cellular";25;"may";163;1;-1;0;"unknown";"no"
39;"blue-collar";"married";"primary";"no";481;"yes";"no";"unknown";29;"may";376;1;-1;0;"unknown";"no"
48;"technician";"single";"secondary";"no";-347;"no";"yes";"cellular";7;"aug";84;2;-1;0;"unknown";"no"
38;"management";"married";"tertiary";"no";1101;"yes";"no";"cellular";9;"mar";78;2;120;1;"failure";"no"
39;"admin.";"married";"secondary";"no";2019;"yes";"no";"unknown";20;"may";166;1;-1;0;"unknown";"no"
35;"technician";"married";"secondary";"no";8;"yes";"yes";"cellular";20;"apr";19;6;-1;0;"unknown";"no"
54;"technician";"married";"secondary";"no";0;"no";"no";"telephone";14;"aug";159;2;106;6;"success";"no"
39;"blue-collar";"married";"secondary";"no";164;"yes";"no";"telephone";15;"may";26;6;373;2;"failure";"no"
28;"student";"single";"tertiary";"no";22;"yes";"no";"cellular";15;"may";536;2;-1;0;"unknown";"yes"
29;"management";"married";"tertiary";"no";137;"yes";"yes";"unknown";15;"may";1088;2;-1;0;"unknown";"no"
40;"technician";"married";"secondary";"no";40;"yes";"no";"cellular";21;"nov";73;1;-1;0;"unknown";"no"
48;"management";"single";"secondary";"no";-18;"yes";"no";"cellular";20;"aug";430;4;-1;0;"unknown";"no"
25;"technician";"single";"secondary";"no";-80;"yes";"yes";"unknown";3;"jun";89;1;-1;0;"unknown";"no"
34;"blue-collar";"single";"secondary";"no";1599;"yes";"no";"cellular";12;"may";59;3;-1;0;"unknown";"no"
63;"management";"married";"tertiary";"no";2785;"no";"no";"cellular";2;"aug";341;2;392;3;"success";"yes"
29;"technician";"single";"tertiary";"no";1669;"no";"no";"cellular";30;"apr";196;1;86;1;"success";"no"
39;"blue-collar";"married";"primary";"no";867;"yes";"no";"unknown";7;"may";481;1;-1;0;"unknown";"no"
28;"technician";"single";"secondary";"no";799;"yes";"no";"cellular";25;"jul";295;1;-1;0;"unknown";"no"
33;"technician";"married";"secondary";"no";6947;"yes";"no";"cellular";20;"apr";250;2;-1;0;"unknown";"no"
40;"admin.";"single";"secondary";"no";2002;"yes";"no";"unknown";30;"may";113;1;-1;0;"unknown";"no"
36;"admin.";"single";"tertiary";"no";1568;"no";"no";"unknown";17;"jun";433;2;-1;0;"unknown";"no"
46;"blue-collar";"married";"secondary";"no";1352;"yes";"no";"cellular";6;"feb";193;1;-1;0;"unknown";"no"
30;"admin.";"divorced";"secondary";"no";83;"yes";"yes";"cellular";18;"nov";118;2;196;1;"failure";"no"
49;"blue-collar";"married";"secondary";"no";0;"no";"no";"cellular";29;"aug";66;17;-1;0;"unknown";"no"
28;"blue-collar";"married";"secondary";"no";17;"no";"no";"unknown";28;"may";8;4;-1;0;"unknown";"no"
33;"technician";"single";"secondary";"no";374;"yes";"yes";"unknown";2;"jun";185;1;-1;0;"unknown";"no"
55;"unemployed";"divorced";"secondary";"no";387;"yes";"no";"unknown";6;"may";918;1;-1;0;"unknown";"yes"
35;"blue-collar";"married";"secondary";"no";474;"yes";"no";"unknown";19;"may";55;3;-1;0;"unknown";"no"
59;"retired";"married";"primary";"no";0;"no";"no";"cellular";22;"aug";347;1;-1;0;"unknown";"no"
49;"self-employed";"single";"tertiary";"no";21;"yes";"no";"unknown";14;"may";248;1;-1;0;"unknown";"no"
40;"blue-collar";"married";"primary";"no";106;"yes";"no";"cellular";17;"apr";200;2;-1;0;"unknown";"no"
36;"admin.";"married";"tertiary";"no";828;"yes";"no";"unknown";29;"may";116;1;-1;0;"unknown";"no"
46;"technician";"divorced";"tertiary";"no";405;"yes";"no";"unknown";15;"may";231;1;-1;0;"unknown";"no"
34;"technician";"married";"secondary";"no";456;"yes";"no";"unknown";23;"may";621;1;-1;0;"unknown";"no"
38;"technician";"married";"secondary";"no";1442;"yes";"no";"cellular";3;"jun";113;1;119;1;"failure";"no"
60;"management";"single";"tertiary";"no";2190;"no";"no";"cellular";11;"aug";601;2;-1;0;"unknown";"no"
35;"retired";"single";"secondary";"no";527;"no";"yes";"unknown";2;"jul";348;3;-1;0;"unknown";"no"
39;"technician";"divorced";"secondary";"no";80;"no";"no";"unknown";20;"jun";124;2;-1;0;"unknown";"no"
29;"admin.";"single";"secondary";"no";1;"no";"no";"telephone";9;"jul";372;1;-1;0;"unknown";"no"
41;"technician";"married";"secondary";"no";2152;"no";"no";"cellular";30;"sep";134;1;121;1;"other";"no"
28;"management";"single";"tertiary";"no";0;"yes";"no";"cellular";16;"jul";767;5;-1;0;"unknown";"yes"
46;"management";"married";"primary";"no";-268;"yes";"no";"unknown";27;"may";99;1;-1;0;"unknown";"no"
60;"entrepreneur";"married";"primary";"no";0;"no";"no";"unknown";18;"jun";201;1;-1;0;"unknown";"no"
28;"blue-collar";"single";"secondary";"yes";0;"no";"yes";"cellular";10;"jul";165;1;-1;0;"unknown";"no"
32;"blue-collar";"married";"secondary";"no";485;"yes";"no";"telephone";12;"may";1100;2;-1;0;"unknown";"no"
23;"student";"single";"tertiary";"no";0;"no";"no";"cellular";10;"aug";213;1;-1;0;"unknown";"yes"
30;"management";"single";"tertiary";"no";890;"no";"no";"cellular";27;"aug";16;18;-1;0;"unknown";"no"
38;"management";"married";"tertiary";"no";1308;"yes";"no";"cellular";2;"feb";626;1;-1;0;"unknown";"yes"
35;"management";"married";"tertiary";"no";2088;"yes";"no";"cellular";1;"oct";86;1;50;4;"failure";"no"
44;"technician";"married";"secondary";"no";2626;"yes";"no";"unknown";14;"may";567;3;-1;0;"unknown";"no"
41;"blue-collar";"married";"primary";"no";5560;"yes";"no";"cellular";12;"may";280;2;335;3;"failure";"no"
54;"blue-collar";"married";"secondary";"no";1777;"yes";"no";"cellular";18;"may";13;5;178;6;"success";"no"
48;"services";"divorced";"secondary";"no";858;"yes";"no";"unknown";19;"may";353;4;-1;0;"unknown";"no"
36;"blue-collar";"single";"primary";"no";20;"yes";"no";"unknown";21;"may";87;14;-1;0;"unknown";"no"
43;"blue-collar";"married";"secondary";"no";667;"yes";"no";"unknown";7;"may";228;3;-1;0;"unknown";"no"
73;"retired";"married";"primary";"no";508;"no";"no";"cellular";9;"mar";176;1;-1;0;"unknown";"yes"
63;"blue-collar";"married";"secondary";"no";180;"no";"no";"cellular";15;"jul";390;2;182;5;"success";"yes"
62;"entrepreneur";"married";"secondary";"no";3904;"no";"no";"telephone";29;"jan";403;2;-1;0;"unknown";"yes"
54;"management";"divorced";"primary";"no";0;"no";"no";"unknown";6;"may";472;1;-1;0;"unknown";"no"
26;"unemployed";"single";"secondary";"no";111;"no";"no";"cellular";9;"jul";537;1;-1;0;"unknown";"yes"
44;"services";"single";"secondary";"no";106;"no";"no";"unknown";12;"jun";109;2;-1;0;"unknown";"no"
36;"management";"married";"tertiary";"no";8277;"yes";"no";"cellular";18;"nov";613;1;-1;0;"unknown";"no"
38;"management";"married";"tertiary";"no";1680;"yes";"no";"cellular";17;"nov";414;2;-1;0;"unknown";"no"
32;"services";"single";"tertiary";"no";785;"no";"no";"cellular";3;"jun";273;1;-1;0;"unknown";"no"
68;"retired";"divorced";"primary";"no";2027;"no";"no";"cellular";14;"sep";404;2;91;4;"success";"yes"
29;"management";"single";"tertiary";"no";74;"no";"no";"cellular";6;"aug";174;1;-1;0;"unknown";"no"
30;"technician";"single";"tertiary";"no";880;"yes";"yes";"unknown";19;"may";967;6;-1;0;"unknown";"yes"
32;"housemaid";"single";"tertiary";"no";23663;"yes";"no";"cellular";21;"nov";103;2;-1;0;"unknown";"no"
48;"services";"single";"primary";"no";204;"yes";"no";"cellular";22;"jul";134;1;-1;0;"unknown";"no"
59;"technician";"married";"primary";"no";309;"no";"yes";"cellular";29;"jul";25;5;-1;0;"unknown";"no"
44;"blue-collar";"married";"secondary";"no";-674;"yes";"no";"unknown";5;"may";257;1;-1;0;"unknown";"no"
29;"blue-collar";"single";"secondary";"no";0;"yes";"no";"cellular";5;"feb";16;9;253;1;"failure";"no"
23;"student";"single";"secondary";"no";2412;"yes";"no";"cellular";11;"may";239;5;367;2;"failure";"no"
35;"management";"married";"tertiary";"no";1100;"no";"yes";"cellular";29;"jan";127;2;-1;0;"unknown";"no"
47;"blue-collar";"divorced";"primary";"yes";0;"yes";"no";"cellular";28;"jul";327;3;-1;0;"unknown";"no"
57;"retired";"divorced";"tertiary";"no";66;"yes";"no";"cellular";11;"may";798;2;-1;0;"unknown";"no"
32;"management";"married";"tertiary";"no";820;"yes";"no";"cellular";17;"jul";738;3;-1;0;"unknown";"no"
36;"blue-collar";"married";"primary";"no";21;"no";"no";"telephone";20;"nov";35;1;-1;0;"unknown";"no"
56;"technician";"divorced";"secondary";"no";0;"no";"no";"cellular";26;"aug";471;8;-1;0;"unknown";"no"
55;"services";"married";"secondary";"no";0;"no";"no";"cellular";8;"jul";106;1;-1;0;"unknown";"no"
45;"admin.";"married";"secondary";"no";400;"yes";"yes";"unknown";25;"jun";103;5;-1;0;"unknown";"no"
31;"technician";"married";"tertiary";"no";3338;"yes";"no";"cellular";27;"sep";162;2;95;4;"failure";"no"
40;"management";"married";"tertiary";"no";185;"no";"no";"cellular";21;"aug";310;2;-1;0;"unknown";"no"
62;"unemployed";"married";"secondary";"no";1625;"no";"no";"telephone";23;"apr";155;1;-1;0;"unknown";"no"
56;"retired";"married";"secondary";"no";1894;"yes";"no";"unknown";15;"may";189;1;-1;0;"unknown";"no"
35;"technician";"single";"tertiary";"no";2453;"yes";"no";"cellular";13;"aug";119;2;-1;0;"unknown";"no"
31;"technician";"married";"secondary";"no";522;"yes";"yes";"cellular";27;"aug";308;4;-1;0;"unknown";"no"
35;"management";"single";"tertiary";"no";578;"yes";"no";"cellular";19;"nov";112;1;-1;0;"unknown";"no"
44;"management";"single";"tertiary";"no";709;"yes";"no";"cellular";19;"nov";54;1;-1;0;"unknown";"no"
64;"retired";"married";"secondary";"no";1220;"no";"no";"cellular";5;"mar";84;1;88;1;"failure";"no"
47;"management";"married";"tertiary";"no";0;"no";"no";"cellular";27;"oct";508;1;-1;0;"unknown";"yes"
29;"student";"single";"unknown";"no";145;"no";"no";"cellular";14;"aug";105;1;-1;0;"unknown";"no"
43;"services";"married";"secondary";"no";978;"yes";"yes";"unknown";26;"may";82;2;-1;0;"unknown";"no"
26;"technician";"married";"secondary";"no";18;"yes";"yes";"cellular";5;"may";138;1;-1;0;"unknown";"no"
35;"blue-collar";"married";"secondary";"no";1454;"yes";"no";"cellular";12;"aug";323;1;182;4;"success";"yes"
27;"admin.";"single";"secondary";"no";-400;"no";"yes";"cellular";8;"jul";290;1;-1;0;"unknown";"no"
57;"self-employed";"married";"secondary";"no";380;"no";"no";"cellular";18;"nov";878;2;-1;0;"unknown";"no"
28;"management";"single";"tertiary";"no";672;"no";"no";"cellular";4;"may";174;1;-1;0;"unknown";"no"
27;"blue-collar";"single";"primary";"no";-71;"no";"yes";"cellular";30;"jul";70;3;-1;0;"unknown";"no"
59;"management";"married";"unknown";"no";147;"no";"no";"cellular";7;"jul";119;3;-1;0;"unknown";"no"
34;"technician";"married";"secondary";"no";1026;"no";"no";"cellular";12;"nov";319;1;100;6;"failure";"no"
32;"housemaid";"single";"tertiary";"no";4;"yes";"no";"cellular";21;"aug";776;2;-1;0;"unknown";"no"
32;"technician";"single";"secondary";"no";-472;"yes";"yes";"cellular";18;"may";121;2;-1;0;"unknown";"no"
32;"services";"married";"secondary";"no";509;"yes";"no";"cellular";6;"may";473;1;358;2;"other";"no"
35;"management";"single";"tertiary";"no";0;"no";"no";"cellular";18;"aug";276;5;-1;0;"unknown";"no"
34;"admin.";"married";"secondary";"no";-312;"yes";"no";"unknown";9;"may";232;1;-1;0;"unknown";"no"
50;"self-employed";"married";"tertiary";"no";0;"no";"no";"cellular";21;"nov";37;2;-1;0;"unknown";"no"
52;"unemployed";"married";"tertiary";"no";0;"no";"no";"telephone";6;"feb";43;4;-1;0;"unknown";"no"
56;"blue-collar";"married";"secondary";"no";249;"yes";"no";"unknown";29;"may";791;2;-1;0;"unknown";"yes"
25;"blue-collar";"married";"secondary";"no";300;"yes";"yes";"unknown";19;"may";126;3;-1;0;"unknown";"no"
31;"unemployed";"married";"tertiary";"no";3640;"no";"no";"cellular";20;"nov";120;1;-1;0;"unknown";"no"
56;"management";"married";"tertiary";"no";502;"no";"no";"cellular";21;"aug";321;2;-1;0;"unknown";"no"
27;"admin.";"single";"secondary";"no";450;"yes";"no";"cellular";7;"jul";107;3;-1;0;"unknown";"no"
48;"management";"single";"tertiary";"no";334;"yes";"no";"cellular";28;"sep";600;2;92;12;"success";"yes"
58;"retired";"married";"unknown";"no";911;"no";"no";"cellular";27;"aug";178;4;-1;0;"unknown";"no"
